'Elapsed time','MLII','V1'
'9:10.586',-0.200,-0.100
'9:10.589',-0.205,-0.090
'9:10.592',-0.220,-0.085
'9:10.594',-0.220,-0.085
'9:10.597',-0.230,-0.085
'9:10.600',-0.245,-0.105
'9:10.603',-0.265,-0.105
'9:10.606',-0.270,-0.075
'9:10.608',-0.265,-0.070
'9:10.611',-0.260,-0.075
'9:10.614',-0.270,-0.060
'9:10.617',-0.280,-0.080
'9:10.619',-0.300,-0.075
'9:10.622',-0.300,-0.080
'9:10.625',-0.295,-0.075
'9:10.628',-0.300,-0.070
'9:10.631',-0.300,-0.080
'9:10.633',-0.320,-0.080
'9:10.636',-0.315,-0.065
'9:10.639',-0.300,-0.070
'9:10.642',-0.300,-0.070
'9:10.644',-0.310,-0.065
'9:10.647',-0.300,-0.080
'9:10.650',-0.315,-0.095
'9:10.653',-0.325,-0.095
'9:10.656',-0.315,-0.080
'9:10.658',-0.310,-0.085
'9:10.661',-0.310,-0.075
'9:10.664',-0.330,-0.080
'9:10.667',-0.335,-0.095
'9:10.669',-0.340,-0.110
'9:10.672',-0.340,-0.095
'9:10.675',-0.330,-0.090
'9:10.678',-0.325,-0.080
'9:10.681',-0.335,-0.090
'9:10.683',-0.330,-0.095
'9:10.686',-0.340,-0.100
'9:10.689',-0.335,-0.075
'9:10.692',-0.335,-0.070
'9:10.694',-0.325,-0.075
'9:10.697',-0.330,-0.090
'9:10.700',-0.340,-0.105
'9:10.703',-0.350,-0.090
'9:10.706',-0.340,-0.075
'9:10.708',-0.330,-0.070
'9:10.711',-0.340,-0.080
'9:10.714',-0.345,-0.095
'9:10.717',-0.355,-0.090
'9:10.719',-0.360,-0.095
'9:10.722',-0.355,-0.085
'9:10.725',-0.335,-0.080
'9:10.728',-0.335,-0.085
'9:10.731',-0.330,-0.090
'9:10.733',-0.345,-0.095
'9:10.736',-0.340,-0.090
'9:10.739',-0.335,-0.090
'9:10.742',-0.315,-0.080
'9:10.744',-0.315,-0.080
'9:10.747',-0.315,-0.090
'9:10.750',-0.310,-0.100
'9:10.753',-0.320,-0.095
'9:10.756',-0.315,-0.090
'9:10.758',-0.310,-0.080
'9:10.761',-0.320,-0.075
'9:10.764',-0.315,-0.085
'9:10.767',-0.330,-0.085
'9:10.769',-0.335,-0.075
'9:10.772',-0.315,-0.070
'9:10.775',-0.310,-0.075
'9:10.778',-0.305,-0.070
'9:10.781',-0.315,-0.070
'9:10.783',-0.320,-0.085
'9:10.786',-0.325,-0.075
'9:10.789',-0.325,-0.075
'9:10.792',-0.305,-0.065
'9:10.794',-0.310,-0.070
'9:10.797',-0.330,-0.080
'9:10.800',-0.340,-0.090
'9:10.803',-0.355,-0.080
'9:10.806',-0.330,-0.080
'9:10.808',-0.315,-0.080
'9:10.811',-0.315,-0.085
'9:10.814',-0.320,-0.100
'9:10.817',-0.330,-0.110
'9:10.819',-0.340,-0.105
'9:10.822',-0.330,-0.090
'9:10.825',-0.330,-0.085
'9:10.828',-0.320,-0.085
'9:10.831',-0.320,-0.100
'9:10.833',-0.330,-0.105
'9:10.836',-0.345,-0.100
'9:10.839',-0.325,-0.090
'9:10.842',-0.330,-0.095
'9:10.844',-0.325,-0.105
'9:10.847',-0.340,-0.095
'9:10.850',-0.350,-0.100
'9:10.853',-0.350,-0.100
'9:10.856',-0.345,-0.090
'9:10.858',-0.330,-0.080
'9:10.861',-0.325,-0.095
'9:10.864',-0.330,-0.100
'9:10.867',-0.350,-0.100
'9:10.869',-0.350,-0.100
'9:10.872',-0.350,-0.085
'9:10.875',-0.335,-0.080
'9:10.878',-0.340,-0.090
'9:10.881',-0.330,-0.085
'9:10.883',-0.345,-0.100
'9:10.886',-0.340,-0.095
'9:10.889',-0.330,-0.080
'9:10.892',-0.325,-0.085
'9:10.894',-0.330,-0.075
'9:10.897',-0.350,-0.085
'9:10.900',-0.355,-0.100
'9:10.903',-0.360,-0.095
'9:10.906',-0.355,-0.080
'9:10.908',-0.335,-0.085
'9:10.911',-0.330,-0.085
'9:10.914',-0.345,-0.090
'9:10.917',-0.360,-0.095
'9:10.919',-0.360,-0.090
'9:10.922',-0.345,-0.085
'9:10.925',-0.335,-0.080
'9:10.928',-0.345,-0.075
'9:10.931',-0.355,-0.090
'9:10.933',-0.365,-0.105
'9:10.936',-0.370,-0.100
'9:10.939',-0.350,-0.085
'9:10.942',-0.345,-0.080
'9:10.944',-0.335,-0.080
'9:10.947',-0.345,-0.090
'9:10.950',-0.365,-0.095
'9:10.953',-0.360,-0.090
'9:10.956',-0.350,-0.085
'9:10.958',-0.345,-0.085
'9:10.961',-0.340,-0.090
'9:10.964',-0.345,-0.095
'9:10.967',-0.345,-0.100
'9:10.969',-0.360,-0.105
'9:10.972',-0.345,-0.090
'9:10.975',-0.340,-0.080
'9:10.978',-0.340,-0.090
'9:10.981',-0.340,-0.090
'9:10.983',-0.335,-0.095
'9:10.986',-0.335,-0.100
'9:10.989',-0.330,-0.085
'9:10.992',-0.325,-0.085
'9:10.994',-0.305,-0.080
'9:10.997',-0.315,-0.085
'9:11.000',-0.310,-0.100
'9:11.003',-0.295,-0.090
'9:11.006',-0.290,-0.080
'9:11.008',-0.280,-0.080
'9:11.011',-0.265,-0.075
'9:11.014',-0.275,-0.085
'9:11.017',-0.280,-0.080
'9:11.019',-0.290,-0.075
'9:11.022',-0.290,-0.085
'9:11.025',-0.280,-0.085
'9:11.028',-0.275,-0.085
'9:11.031',-0.250,-0.075
'9:11.033',-0.240,-0.085
'9:11.036',-0.245,-0.090
'9:11.039',-0.210,-0.070
'9:11.042',-0.180,-0.060
'9:11.044',-0.180,-0.060
'9:11.047',-0.195,-0.075
'9:11.050',-0.225,-0.080
'9:11.053',-0.240,-0.080
'9:11.056',-0.235,-0.065
'9:11.058',-0.220,-0.075
'9:11.061',-0.215,-0.070
'9:11.064',-0.220,-0.075
'9:11.067',-0.235,-0.085
'9:11.069',-0.245,-0.090
'9:11.072',-0.240,-0.075
'9:11.075',-0.235,-0.065
'9:11.078',-0.235,-0.070
'9:11.081',-0.255,-0.070
'9:11.083',-0.260,-0.080
'9:11.086',-0.285,-0.095
'9:11.089',-0.270,-0.080
'9:11.092',-0.285,-0.070
'9:11.094',-0.295,-0.075
'9:11.097',-0.330,-0.095
'9:11.100',-0.350,-0.095
'9:11.103',-0.365,-0.095
'9:11.106',-0.360,-0.090
'9:11.108',-0.360,-0.080
'9:11.111',-0.355,-0.080
'9:11.114',-0.360,-0.095
'9:11.117',-0.370,-0.110
'9:11.119',-0.375,-0.110
'9:11.122',-0.370,-0.100
'9:11.125',-0.375,-0.095
'9:11.128',-0.370,-0.100
'9:11.131',-0.375,-0.105
'9:11.133',-0.380,-0.125
'9:11.136',-0.385,-0.115
'9:11.139',-0.380,-0.100
'9:11.142',-0.370,-0.090
'9:11.144',-0.385,-0.100
'9:11.147',-0.385,-0.110
'9:11.150',-0.395,-0.110
'9:11.153',-0.395,-0.110
'9:11.156',-0.385,-0.095
'9:11.158',-0.375,-0.085
'9:11.161',-0.385,-0.075
'9:11.164',-0.385,-0.095
'9:11.167',-0.420,-0.110
'9:11.169',-0.460,-0.090
'9:11.172',-0.470,-0.080
'9:11.175',-0.475,-0.080
'9:11.178',-0.455,-0.080
'9:11.181',-0.385,-0.090
'9:11.183',-0.220,-0.095
'9:11.186',0.015,-0.095
'9:11.189',0.335,-0.070
'9:11.192',0.690,-0.070
'9:11.194',1.065,-0.075
'9:11.197',1.370,-0.100
'9:11.200',1.500,-0.120
'9:11.203',1.420,-0.135
'9:11.206',1.175,-0.160
'9:11.208',0.875,-0.150
'9:11.211',0.565,-0.150
'9:11.214',0.335,-0.130
'9:11.217',0.225,-0.100
'9:11.219',0.165,-0.070
'9:11.222',0.105,-0.045
'9:11.225',0.025,-0.045
'9:11.228',-0.055,-0.050
'9:11.231',-0.105,-0.065
'9:11.233',-0.165,-0.080
'9:11.236',-0.225,-0.075
'9:11.239',-0.270,-0.060
'9:11.242',-0.305,-0.070
'9:11.244',-0.350,-0.070
'9:11.247',-0.390,-0.085
'9:11.250',-0.405,-0.090
'9:11.253',-0.420,-0.090
'9:11.256',-0.415,-0.080
'9:11.258',-0.405,-0.060
'9:11.261',-0.405,-0.085
'9:11.264',-0.415,-0.095
'9:11.267',-0.435,-0.095
'9:11.269',-0.430,-0.105
'9:11.272',-0.430,-0.100
'9:11.275',-0.425,-0.095
'9:11.278',-0.425,-0.090
'9:11.281',-0.435,-0.090
'9:11.283',-0.455,-0.105
'9:11.286',-0.460,-0.110
'9:11.289',-0.435,-0.105
'9:11.292',-0.430,-0.100
'9:11.294',-0.425,-0.100
'9:11.297',-0.430,-0.105
'9:11.300',-0.435,-0.120
'9:11.303',-0.445,-0.105
'9:11.306',-0.430,-0.095
'9:11.308',-0.425,-0.085
'9:11.311',-0.425,-0.090
'9:11.314',-0.420,-0.100
'9:11.317',-0.440,-0.110
'9:11.319',-0.435,-0.095
'9:11.322',-0.435,-0.095
'9:11.325',-0.420,-0.090
'9:11.328',-0.425,-0.090
'9:11.331',-0.440,-0.085
'9:11.333',-0.450,-0.095
'9:11.336',-0.445,-0.085
'9:11.339',-0.445,-0.085
'9:11.342',-0.430,-0.080
'9:11.344',-0.430,-0.085
'9:11.347',-0.430,-0.115
'9:11.350',-0.425,-0.115
'9:11.353',-0.450,-0.110
'9:11.356',-0.440,-0.090
'9:11.358',-0.430,-0.080
'9:11.361',-0.430,-0.095
'9:11.364',-0.435,-0.095
'9:11.367',-0.445,-0.095
'9:11.369',-0.455,-0.100
'9:11.372',-0.435,-0.100
'9:11.375',-0.435,-0.085
'9:11.378',-0.425,-0.070
'9:11.381',-0.435,-0.090
'9:11.383',-0.445,-0.095
'9:11.386',-0.445,-0.105
'9:11.389',-0.445,-0.100
'9:11.392',-0.445,-0.080
'9:11.394',-0.445,-0.075
'9:11.397',-0.440,-0.090
'9:11.400',-0.445,-0.095
'9:11.403',-0.450,-0.095
'9:11.406',-0.440,-0.090
'9:11.408',-0.420,-0.080
'9:11.411',-0.435,-0.085
'9:11.414',-0.420,-0.095
'9:11.417',-0.425,-0.115
'9:11.419',-0.415,-0.100
'9:11.422',-0.410,-0.095
'9:11.425',-0.400,-0.100
'9:11.428',-0.395,-0.100
'9:11.431',-0.395,-0.115
'9:11.433',-0.400,-0.120
'9:11.436',-0.395,-0.120
'9:11.439',-0.375,-0.105
'9:11.442',-0.360,-0.100
'9:11.444',-0.345,-0.110
'9:11.447',-0.335,-0.115
'9:11.450',-0.330,-0.125
'9:11.453',-0.340,-0.120
'9:11.456',-0.330,-0.110
'9:11.458',-0.305,-0.105
'9:11.461',-0.300,-0.105
'9:11.464',-0.290,-0.110
'9:11.467',-0.285,-0.110
'9:11.469',-0.280,-0.100
'9:11.472',-0.255,-0.085
'9:11.475',-0.235,-0.080
'9:11.478',-0.220,-0.095
'9:11.481',-0.210,-0.110
'9:11.483',-0.200,-0.110
'9:11.486',-0.190,-0.110
'9:11.489',-0.170,-0.100
'9:11.492',-0.150,-0.100
'9:11.494',-0.150,-0.100
'9:11.497',-0.145,-0.115
'9:11.500',-0.155,-0.115
'9:11.503',-0.135,-0.115
'9:11.506',-0.125,-0.110
'9:11.508',-0.095,-0.090
'9:11.511',-0.085,-0.100
'9:11.514',-0.085,-0.105
'9:11.517',-0.085,-0.115
'9:11.519',-0.090,-0.120
'9:11.522',-0.075,-0.105
'9:11.525',-0.070,-0.090
'9:11.528',-0.070,-0.100
'9:11.531',-0.085,-0.105
'9:11.533',-0.100,-0.120
'9:11.536',-0.130,-0.100
'9:11.539',-0.110,-0.100
'9:11.542',-0.120,-0.090
'9:11.544',-0.125,-0.090
'9:11.547',-0.135,-0.095
'9:11.550',-0.155,-0.095
'9:11.553',-0.175,-0.100
'9:11.556',-0.195,-0.095
'9:11.558',-0.195,-0.080
'9:11.561',-0.215,-0.085
'9:11.564',-0.225,-0.090
'9:11.567',-0.240,-0.105
'9:11.569',-0.255,-0.090
'9:11.572',-0.265,-0.100
'9:11.575',-0.265,-0.100
'9:11.578',-0.280,-0.110
'9:11.581',-0.300,-0.105
'9:11.583',-0.320,-0.130
'9:11.586',-0.315,-0.115
'9:11.589',-0.310,-0.105
'9:11.592',-0.310,-0.100
'9:11.594',-0.300,-0.095
'9:11.597',-0.320,-0.110
'9:11.600',-0.340,-0.115
'9:11.603',-0.355,-0.120
'9:11.606',-0.350,-0.105
'9:11.608',-0.345,-0.090
'9:11.611',-0.350,-0.085
'9:11.614',-0.350,-0.095
'9:11.617',-0.355,-0.110
'9:11.619',-0.365,-0.105
'9:11.622',-0.345,-0.095
'9:11.625',-0.350,-0.090
'9:11.628',-0.350,-0.085
'9:11.631',-0.355,-0.105
'9:11.633',-0.370,-0.100
'9:11.636',-0.380,-0.095
'9:11.639',-0.370,-0.090
'9:11.642',-0.355,-0.080
'9:11.644',-0.350,-0.085
'9:11.647',-0.360,-0.085
'9:11.650',-0.385,-0.100
'9:11.653',-0.395,-0.090
'9:11.656',-0.380,-0.090
'9:11.658',-0.380,-0.080
'9:11.661',-0.375,-0.095
'9:11.664',-0.380,-0.100
'9:11.667',-0.375,-0.100
'9:11.669',-0.380,-0.100
'9:11.672',-0.370,-0.085
'9:11.675',-0.375,-0.070
'9:11.678',-0.370,-0.075
'9:11.681',-0.385,-0.085
'9:11.683',-0.385,-0.090
'9:11.686',-0.390,-0.085
'9:11.689',-0.380,-0.075
'9:11.692',-0.365,-0.070
'9:11.694',-0.380,-0.075
'9:11.697',-0.370,-0.080
'9:11.700',-0.390,-0.095
'9:11.703',-0.385,-0.085
'9:11.706',-0.390,-0.080
'9:11.708',-0.365,-0.075
'9:11.711',-0.345,-0.075
'9:11.714',-0.360,-0.090
'9:11.717',-0.365,-0.095
'9:11.719',-0.380,-0.095
'9:11.722',-0.380,-0.070
'9:11.725',-0.370,-0.075
'9:11.728',-0.365,-0.085
'9:11.731',-0.350,-0.090
'9:11.733',-0.360,-0.105
'9:11.736',-0.360,-0.100
'9:11.739',-0.370,-0.110
'9:11.742',-0.360,-0.105
'9:11.744',-0.360,-0.105
'9:11.747',-0.355,-0.095
'9:11.750',-0.360,-0.115
'9:11.753',-0.370,-0.120
'9:11.756',-0.370,-0.100
'9:11.758',-0.360,-0.080
'9:11.761',-0.360,-0.095
'9:11.764',-0.370,-0.110
'9:11.767',-0.370,-0.115
'9:11.769',-0.360,-0.120
'9:11.772',-0.370,-0.100
'9:11.775',-0.355,-0.090
'9:11.778',-0.340,-0.095
'9:11.781',-0.355,-0.090
'9:11.783',-0.355,-0.105
'9:11.786',-0.375,-0.105
'9:11.789',-0.365,-0.095
'9:11.792',-0.370,-0.085
'9:11.794',-0.375,-0.105
'9:11.797',-0.390,-0.095
'9:11.800',-0.390,-0.105
'9:11.803',-0.400,-0.105
'9:11.806',-0.390,-0.085
'9:11.808',-0.370,-0.090
'9:11.811',-0.370,-0.095
'9:11.814',-0.370,-0.100
'9:11.817',-0.380,-0.110
'9:11.819',-0.375,-0.095
'9:11.822',-0.375,-0.095
'9:11.825',-0.375,-0.080
'9:11.828',-0.375,-0.075
'9:11.831',-0.370,-0.085
'9:11.833',-0.380,-0.085
'9:11.836',-0.375,-0.095
'9:11.839',-0.375,-0.085
'9:11.842',-0.360,-0.085
'9:11.844',-0.355,-0.090
'9:11.847',-0.355,-0.105
'9:11.850',-0.365,-0.105
'9:11.853',-0.380,-0.095
'9:11.856',-0.370,-0.065
'9:11.858',-0.360,-0.065
'9:11.861',-0.365,-0.070
'9:11.864',-0.380,-0.085
'9:11.867',-0.385,-0.100
'9:11.869',-0.390,-0.110
'9:11.872',-0.380,-0.090
'9:11.875',-0.375,-0.095
'9:11.878',-0.375,-0.095
'9:11.881',-0.385,-0.130
'9:11.883',-0.385,-0.130
'9:11.886',-0.395,-0.120
'9:11.889',-0.395,-0.115
'9:11.892',-0.385,-0.100
'9:11.894',-0.375,-0.105
'9:11.897',-0.385,-0.115
'9:11.900',-0.385,-0.120
'9:11.903',-0.385,-0.125
'9:11.906',-0.370,-0.115
'9:11.908',-0.360,-0.115
'9:11.911',-0.375,-0.115
'9:11.914',-0.375,-0.115
'9:11.917',-0.395,-0.115
'9:11.919',-0.400,-0.115
'9:11.922',-0.385,-0.105
'9:11.925',-0.380,-0.105
'9:11.928',-0.375,-0.105
'9:11.931',-0.390,-0.110
'9:11.933',-0.375,-0.120
'9:11.936',-0.385,-0.120
'9:11.939',-0.375,-0.115
'9:11.942',-0.380,-0.095
'9:11.944',-0.370,-0.095
'9:11.947',-0.380,-0.100
'9:11.950',-0.380,-0.110
'9:11.953',-0.390,-0.115
'9:11.956',-0.375,-0.110
'9:11.958',-0.375,-0.095
'9:11.961',-0.365,-0.115
'9:11.964',-0.375,-0.110
'9:11.967',-0.370,-0.115
'9:11.969',-0.365,-0.120
'9:11.972',-0.360,-0.095
'9:11.975',-0.340,-0.095
'9:11.978',-0.315,-0.095
'9:11.981',-0.315,-0.095
'9:11.983',-0.325,-0.090
'9:11.986',-0.325,-0.100
'9:11.989',-0.305,-0.090
'9:11.992',-0.295,-0.075
'9:11.994',-0.300,-0.105
'9:11.997',-0.305,-0.095
'9:12.000',-0.315,-0.100
'9:12.003',-0.320,-0.100
'9:12.006',-0.295,-0.095
'9:12.008',-0.270,-0.070
'9:12.011',-0.255,-0.075
'9:12.014',-0.225,-0.085
'9:12.017',-0.220,-0.100
'9:12.019',-0.235,-0.100
'9:12.022',-0.230,-0.085
'9:12.025',-0.235,-0.080
'9:12.028',-0.245,-0.095
'9:12.031',-0.240,-0.105
'9:12.033',-0.260,-0.125
'9:12.036',-0.270,-0.130
'9:12.039',-0.255,-0.120
'9:12.042',-0.260,-0.105
'9:12.044',-0.260,-0.115
'9:12.047',-0.265,-0.125
'9:12.050',-0.265,-0.135
'9:12.053',-0.280,-0.120
'9:12.056',-0.295,-0.110
'9:12.058',-0.295,-0.105
'9:12.061',-0.305,-0.105
'9:12.064',-0.310,-0.100
'9:12.067',-0.325,-0.130
'9:12.069',-0.345,-0.135
'9:12.072',-0.365,-0.125
'9:12.075',-0.365,-0.100
'9:12.078',-0.385,-0.105
'9:12.081',-0.385,-0.115
'9:12.083',-0.395,-0.115
'9:12.086',-0.385,-0.115
'9:12.089',-0.390,-0.120
'9:12.092',-0.370,-0.105
'9:12.094',-0.375,-0.105
'9:12.097',-0.395,-0.110
'9:12.100',-0.395,-0.115
'9:12.103',-0.405,-0.110
'9:12.106',-0.400,-0.105
'9:12.108',-0.405,-0.090
'9:12.111',-0.395,-0.105
'9:12.114',-0.395,-0.100
'9:12.117',-0.400,-0.110
'9:12.119',-0.395,-0.105
'9:12.122',-0.400,-0.095
'9:12.125',-0.395,-0.080
'9:12.128',-0.395,-0.090
'9:12.131',-0.405,-0.095
'9:12.133',-0.435,-0.115
'9:12.136',-0.470,-0.105
'9:12.139',-0.490,-0.080
'9:12.142',-0.495,-0.070
'9:12.144',-0.445,-0.085
'9:12.147',-0.330,-0.095
'9:12.150',-0.125,-0.090
'9:12.153',0.170,-0.085
'9:12.156',0.565,-0.075
'9:12.158',0.970,-0.080
'9:12.161',1.290,-0.105
'9:12.164',1.405,-0.150
'9:12.167',1.260,-0.190
'9:12.169',0.935,-0.200
'9:12.172',0.605,-0.200
'9:12.175',0.360,-0.165
'9:12.178',0.215,-0.135
'9:12.181',0.150,-0.105
'9:12.183',0.100,-0.095
'9:12.186',-0.010,-0.100
'9:12.189',-0.075,-0.090
'9:12.192',-0.145,-0.085
'9:12.194',-0.205,-0.095
'9:12.197',-0.265,-0.100
'9:12.200',-0.330,-0.105
'9:12.203',-0.380,-0.115
'9:12.206',-0.390,-0.095
'9:12.208',-0.410,-0.095
'9:12.211',-0.415,-0.095
'9:12.214',-0.415,-0.100
'9:12.217',-0.415,-0.110
'9:12.219',-0.425,-0.110
'9:12.222',-0.435,-0.100
'9:12.225',-0.435,-0.095
'9:12.228',-0.440,-0.095
'9:12.231',-0.440,-0.110
'9:12.233',-0.455,-0.110
'9:12.236',-0.460,-0.110
'9:12.239',-0.460,-0.100
'9:12.242',-0.450,-0.095
'9:12.244',-0.440,-0.095
'9:12.247',-0.445,-0.100
'9:12.250',-0.450,-0.100
'9:12.253',-0.470,-0.100
'9:12.256',-0.455,-0.095
'9:12.258',-0.445,-0.090
'9:12.261',-0.450,-0.090
'9:12.264',-0.455,-0.090
'9:12.267',-0.460,-0.095
'9:12.269',-0.460,-0.090
'9:12.272',-0.450,-0.080
'9:12.275',-0.450,-0.070
'9:12.278',-0.445,-0.065
'9:12.281',-0.445,-0.070
