'Elapsed time','MLII','V1'
'21:00.308',-0.175,-0.185
'21:00.311',-0.180,-0.185
'21:00.314',-0.175,-0.190
'21:00.317',-0.170,-0.190
'21:00.319',-0.165,-0.180
'21:00.322',-0.155,-0.185
'21:00.325',-0.155,-0.190
'21:00.328',-0.160,-0.195
'21:00.331',-0.175,-0.200
'21:00.333',-0.155,-0.180
'21:00.336',-0.155,-0.170
'21:00.339',-0.140,-0.180
'21:00.342',-0.145,-0.190
'21:00.344',-0.150,-0.195
'21:00.347',-0.165,-0.205
'21:00.350',-0.150,-0.180
'21:00.353',-0.150,-0.175
'21:00.356',-0.140,-0.180
'21:00.358',-0.145,-0.190
'21:00.361',-0.135,-0.195
'21:00.364',-0.145,-0.205
'21:00.367',-0.140,-0.190
'21:00.369',-0.135,-0.180
'21:00.372',-0.105,-0.185
'21:00.375',-0.120,-0.170
'21:00.378',-0.150,-0.165
'21:00.381',-0.180,-0.150
'21:00.383',-0.180,-0.135
'21:00.386',-0.200,-0.095
'21:00.389',-0.195,-0.070
'21:00.392',-0.205,-0.055
'21:00.394',-0.195,-0.055
'21:00.397',-0.115,-0.080
'21:00.400',0.015,-0.120
'21:00.403',0.150,-0.165
'21:00.406',0.315,-0.250
'21:00.408',0.450,-0.355
'21:00.411',0.560,-0.470
'21:00.414',0.655,-0.575
'21:00.417',0.785,-0.660
'21:00.419',0.950,-0.810
'21:00.422',1.120,-1.005
'21:00.425',1.270,-1.215
'21:00.428',1.430,-1.395
'21:00.431',1.550,-1.530
'21:00.433',1.660,-1.580
'21:00.436',1.710,-1.595
'21:00.439',1.720,-1.600
'21:00.442',1.725,-1.580
'21:00.444',1.695,-1.555
'21:00.447',1.615,-1.485
'21:00.450',1.450,-1.395
'21:00.453',1.250,-1.300
'21:00.456',1.065,-1.220
'21:00.458',0.900,-1.155
'21:00.461',0.725,-1.090
'21:00.464',0.515,-1.015
'21:00.467',0.320,-0.925
'21:00.469',0.100,-0.860
'21:00.472',-0.115,-0.795
'21:00.475',-0.310,-0.735
'21:00.478',-0.455,-0.700
'21:00.481',-0.600,-0.655
'21:00.483',-0.725,-0.600
'21:00.486',-0.805,-0.545
'21:00.489',-0.840,-0.495
'21:00.492',-0.855,-0.470
'21:00.494',-0.870,-0.455
'21:00.497',-0.865,-0.420
'21:00.500',-0.835,-0.385
'21:00.503',-0.815,-0.340
'21:00.506',-0.800,-0.305
'21:00.508',-0.780,-0.260
'21:00.511',-0.755,-0.245
'21:00.514',-0.720,-0.215
'21:00.517',-0.660,-0.175
'21:00.519',-0.625,-0.130
'21:00.522',-0.600,-0.115
'21:00.525',-0.580,-0.095
'21:00.528',-0.570,-0.080
'21:00.531',-0.565,-0.060
'21:00.533',-0.520,-0.030
'21:00.536',-0.485,0.005
'21:00.539',-0.460,0.015
'21:00.542',-0.440,0.010
'21:00.544',-0.440,0.020
'21:00.547',-0.435,0.010
'21:00.550',-0.425,0.020
'21:00.553',-0.405,0.030
'21:00.556',-0.400,0.035
'21:00.558',-0.410,0.025
'21:00.561',-0.410,0.015
'21:00.564',-0.440,0.015
'21:00.567',-0.430,0.035
'21:00.569',-0.420,0.055
'21:00.572',-0.425,0.050
'21:00.575',-0.430,0.045
'21:00.578',-0.440,0.040
'21:00.581',-0.445,0.055
'21:00.583',-0.450,0.055
'21:00.586',-0.450,0.070
'21:00.589',-0.450,0.070
'21:00.592',-0.460,0.070
'21:00.594',-0.460,0.065
'21:00.597',-0.475,0.075
'21:00.600',-0.460,0.080
'21:00.603',-0.470,0.110
'21:00.606',-0.460,0.105
'21:00.608',-0.465,0.105
'21:00.611',-0.480,0.095
'21:00.614',-0.500,0.095
'21:00.617',-0.485,0.115
'21:00.619',-0.475,0.125
'21:00.622',-0.495,0.120
'21:00.625',-0.485,0.120
'21:00.628',-0.495,0.115
'21:00.631',-0.510,0.115
'21:00.633',-0.495,0.135
'21:00.636',-0.490,0.145
'21:00.639',-0.485,0.145
'21:00.642',-0.485,0.140
'21:00.644',-0.480,0.135
'21:00.647',-0.490,0.135
'21:00.650',-0.475,0.145
'21:00.653',-0.465,0.155
'21:00.656',-0.455,0.145
'21:00.658',-0.460,0.150
'21:00.661',-0.450,0.140
'21:00.664',-0.450,0.135
'21:00.667',-0.445,0.160
'21:00.669',-0.425,0.150
'21:00.672',-0.410,0.155
'21:00.675',-0.405,0.145
'21:00.678',-0.390,0.135
'21:00.681',-0.385,0.125
'21:00.683',-0.370,0.125
'21:00.686',-0.345,0.145
'21:00.689',-0.330,0.135
'21:00.692',-0.305,0.115
'21:00.694',-0.295,0.100
'21:00.697',-0.285,0.095
'21:00.700',-0.270,0.110
'21:00.703',-0.250,0.110
'21:00.706',-0.230,0.100
'21:00.708',-0.210,0.085
'21:00.711',-0.200,0.085
'21:00.714',-0.195,0.065
'21:00.717',-0.165,0.070
'21:00.719',-0.150,0.080
'21:00.722',-0.125,0.070
'21:00.725',-0.120,0.055
'21:00.728',-0.110,0.035
'21:00.731',-0.110,0.040
'21:00.733',-0.095,0.030
'21:00.736',-0.075,0.040
'21:00.739',-0.050,0.025
'21:00.742',-0.045,0.010
'21:00.744',-0.035,0.000
'21:00.747',-0.035,-0.020
'21:00.750',-0.015,-0.020
'21:00.753',0.010,-0.015
'21:00.756',0.030,-0.030
'21:00.758',0.030,-0.040
'21:00.761',0.035,-0.055
'21:00.764',0.040,-0.065
'21:00.767',0.050,-0.070
'21:00.769',0.060,-0.070
'21:00.772',0.070,-0.075
'21:00.775',0.070,-0.095
'21:00.778',0.065,-0.105
'21:00.781',0.065,-0.110
'21:00.783',0.070,-0.110
'21:00.786',0.090,-0.100
'21:00.789',0.095,-0.105
'21:00.792',0.080,-0.125
'21:00.794',0.080,-0.140
'21:00.797',0.070,-0.135
'21:00.800',0.075,-0.130
'21:00.803',0.080,-0.135
'21:00.806',0.080,-0.145
'21:00.808',0.075,-0.145
'21:00.811',0.070,-0.145
'21:00.814',0.045,-0.170
'21:00.817',0.045,-0.160
'21:00.819',0.040,-0.135
'21:00.822',0.040,-0.150
'21:00.825',0.030,-0.150
'21:00.828',0.015,-0.165
'21:00.831',0.010,-0.160
'21:00.833',0.005,-0.145
'21:00.836',0.005,-0.135
'21:00.839',0.015,-0.150
'21:00.842',0.010,-0.145
'21:00.844',0.020,-0.145
'21:00.847',0.015,-0.135
'21:00.850',0.035,-0.125
'21:00.853',0.045,-0.105
'21:00.856',0.040,-0.105
'21:00.858',0.045,-0.115
'21:00.861',0.030,-0.130
'21:00.864',0.035,-0.125
'21:00.867',0.035,-0.120
'21:00.869',0.040,-0.110
'21:00.872',0.020,-0.125
'21:00.875',0.025,-0.130
'21:00.878',0.020,-0.155
'21:00.881',0.025,-0.145
'21:00.883',0.055,-0.140
'21:00.886',0.065,-0.125
'21:00.889',0.090,-0.120
'21:00.892',0.095,-0.130
'21:00.894',0.080,-0.130
'21:00.897',0.075,-0.135
'21:00.900',0.085,-0.120
'21:00.903',0.095,-0.110
'21:00.906',0.090,-0.115
'21:00.908',0.080,-0.115
'21:00.911',0.065,-0.120
'21:00.914',0.055,-0.115
'21:00.917',0.060,-0.090
'21:00.919',0.075,-0.105
'21:00.922',0.065,-0.100
'21:00.925',0.085,-0.120
'21:00.928',0.080,-0.130
'21:00.931',0.070,-0.120
'21:00.933',0.075,-0.110
'21:00.936',0.075,-0.095
'21:00.939',0.075,-0.105
'21:00.942',0.035,-0.115
'21:00.944',0.000,-0.110
'21:00.947',-0.040,-0.120
'21:00.950',-0.060,-0.105
'21:00.953',-0.075,-0.090
'21:00.956',-0.080,-0.095
'21:00.958',-0.115,-0.095
'21:00.961',-0.135,-0.100
'21:00.964',-0.160,-0.100
'21:00.967',-0.175,-0.080
'21:00.969',-0.160,-0.070
'21:00.972',-0.155,-0.075
'21:00.975',-0.160,-0.075
'21:00.978',-0.170,-0.090
'21:00.981',-0.180,-0.100
'21:00.983',-0.175,-0.085
'21:00.986',-0.160,-0.085
'21:00.989',-0.155,-0.090
'21:00.992',-0.175,-0.085
'21:00.994',-0.170,-0.095
'21:00.997',-0.180,-0.100
'21:01.000',-0.170,-0.100
'21:01.003',-0.160,-0.080
'21:01.006',-0.155,-0.080
'21:01.008',-0.165,-0.085
'21:01.011',-0.175,-0.095
'21:01.014',-0.195,-0.095
'21:01.017',-0.170,-0.090
'21:01.019',-0.160,-0.080
'21:01.022',-0.170,-0.100
'21:01.025',-0.155,-0.090
'21:01.028',-0.175,-0.105
'21:01.031',-0.175,-0.100
'21:01.033',-0.160,-0.095
'21:01.036',-0.155,-0.085
'21:01.039',-0.155,-0.085
'21:01.042',-0.155,-0.090
'21:01.044',-0.160,-0.105
'21:01.047',-0.160,-0.100
'21:01.050',-0.170,-0.095
'21:01.053',-0.150,-0.085
'21:01.056',-0.145,-0.090
'21:01.058',-0.160,-0.110
'21:01.061',-0.155,-0.100
'21:01.064',-0.165,-0.095
'21:01.067',-0.155,-0.090
'21:01.069',-0.130,-0.080
'21:01.072',-0.130,-0.070
'21:01.075',-0.125,-0.090
'21:01.078',-0.130,-0.095
'21:01.081',-0.145,-0.095
'21:01.083',-0.125,-0.085
'21:01.086',-0.115,-0.080
'21:01.089',-0.095,-0.075
'21:01.092',-0.120,-0.090
'21:01.094',-0.100,-0.090
'21:01.097',-0.120,-0.085
'21:01.100',-0.120,-0.060
'21:01.103',-0.135,-0.040
'21:01.106',-0.140,-0.030
'21:01.108',-0.190,-0.020
'21:01.111',-0.195,0.010
'21:01.114',-0.230,0.030
'21:01.117',-0.200,0.055
'21:01.119',-0.140,0.060
'21:01.122',-0.045,0.035
'21:01.125',0.095,-0.015
'21:01.128',0.235,-0.100
'21:01.131',0.365,-0.160
'21:01.133',0.500,-0.255
'21:01.136',0.615,-0.345
'21:01.139',0.705,-0.440
'21:01.142',0.795,-0.530
'21:01.144',0.940,-0.650
'21:01.147',1.070,-0.820
'21:01.150',1.205,-0.980
'21:01.153',1.350,-1.135
'21:01.156',1.500,-1.295
'21:01.158',1.625,-1.420
'21:01.161',1.710,-1.485
'21:01.164',1.730,-1.510
'21:01.167',1.760,-1.495
'21:01.169',1.765,-1.470
'21:01.172',1.735,-1.430
'21:01.175',1.650,-1.370
'21:01.178',1.465,-1.310
'21:01.181',1.255,-1.230
'21:01.183',1.055,-1.125
'21:01.186',0.895,-1.035
'21:01.189',0.725,-0.980
'21:01.192',0.535,-0.905
'21:01.194',0.335,-0.865
'21:01.197',0.085,-0.785
'21:01.200',-0.150,-0.715
'21:01.203',-0.315,-0.645
'21:01.206',-0.460,-0.595
'21:01.208',-0.585,-0.550
'21:01.211',-0.710,-0.520
'21:01.214',-0.815,-0.480
'21:01.217',-0.860,-0.430
'21:01.219',-0.875,-0.390
'21:01.222',-0.885,-0.360
'21:01.225',-0.860,-0.340
'21:01.228',-0.855,-0.315
'21:01.231',-0.855,-0.285
'21:01.233',-0.845,-0.230
'21:01.236',-0.825,-0.185
'21:01.239',-0.790,-0.160
'21:01.242',-0.760,-0.130
'21:01.244',-0.720,-0.105
'21:01.247',-0.690,-0.090
'21:01.250',-0.650,-0.045
'21:01.253',-0.615,-0.005
'21:01.256',-0.585,0.010
'21:01.258',-0.575,0.030
'21:01.261',-0.565,0.045
'21:01.264',-0.540,0.075
'21:01.267',-0.495,0.090
'21:01.269',-0.475,0.115
'21:01.272',-0.445,0.120
'21:01.275',-0.460,0.130
'21:01.278',-0.445,0.130
'21:01.281',-0.430,0.130
'21:01.283',-0.425,0.150
'21:01.286',-0.415,0.155
'21:01.289',-0.425,0.150
'21:01.292',-0.410,0.140
'21:01.294',-0.430,0.145
'21:01.297',-0.445,0.145
'21:01.300',-0.450,0.150
'21:01.303',-0.445,0.175
'21:01.306',-0.445,0.180
'21:01.308',-0.455,0.175
'21:01.311',-0.460,0.175
'21:01.314',-0.475,0.175
'21:01.317',-0.475,0.190
'21:01.319',-0.485,0.205
'21:01.322',-0.475,0.200
'21:01.325',-0.480,0.190
'21:01.328',-0.490,0.195
'21:01.331',-0.490,0.195
'21:01.333',-0.505,0.215
'21:01.336',-0.490,0.225
'21:01.339',-0.485,0.230
'21:01.342',-0.490,0.225
'21:01.344',-0.495,0.215
'21:01.347',-0.520,0.215
'21:01.350',-0.515,0.250
'21:01.353',-0.510,0.240
'21:01.356',-0.505,0.260
'21:01.358',-0.510,0.255
'21:01.361',-0.515,0.245
'21:01.364',-0.520,0.255
'21:01.367',-0.505,0.265
'21:01.369',-0.500,0.280
'21:01.372',-0.490,0.270
'21:01.375',-0.500,0.280
'21:01.378',-0.500,0.270
'21:01.381',-0.510,0.265
'21:01.383',-0.500,0.280
'21:01.386',-0.480,0.285
'21:01.389',-0.480,0.285
'21:01.392',-0.480,0.280
'21:01.394',-0.470,0.270
'21:01.397',-0.460,0.275
'21:01.400',-0.450,0.285
'21:01.403',-0.435,0.280
'21:01.406',-0.400,0.285
'21:01.408',-0.405,0.265
'21:01.411',-0.400,0.255
'21:01.414',-0.380,0.240
'21:01.417',-0.365,0.260
'21:01.419',-0.345,0.255
'21:01.422',-0.320,0.255
'21:01.425',-0.310,0.235
'21:01.428',-0.310,0.220
'21:01.431',-0.305,0.230
'21:01.433',-0.280,0.235
'21:01.436',-0.265,0.230
'21:01.439',-0.230,0.225
'21:01.442',-0.220,0.210
'21:01.444',-0.220,0.200
'21:01.447',-0.205,0.200
'21:01.450',-0.180,0.205
'21:01.453',-0.160,0.200
'21:01.456',-0.130,0.190
'21:01.458',-0.135,0.170
'21:01.461',-0.115,0.170
'21:01.464',-0.115,0.160
'21:01.467',-0.085,0.160
'21:01.469',-0.065,0.160
'21:01.472',-0.050,0.140
'21:01.475',-0.050,0.140
'21:01.478',-0.020,0.110
'21:01.481',-0.045,0.110
'21:01.483',-0.020,0.105
'21:01.486',-0.005,0.110
'21:01.489',-0.005,0.095
'21:01.492',0.010,0.065
'21:01.494',0.025,0.065
'21:01.497',0.015,0.045
'21:01.500',0.030,0.055
'21:01.503',0.035,0.060
'21:01.506',0.030,0.040
'21:01.508',0.050,0.035
'21:01.511',0.035,0.025
'21:01.514',0.025,0.015
'21:01.517',0.025,0.045
'21:01.519',0.035,0.040
'21:01.522',0.030,0.025
'21:01.525',0.030,0.020
'21:01.528',0.020,0.010
'21:01.531',0.010,0.000
'21:01.533',0.020,0.015
'21:01.536',0.010,0.030
'21:01.539',0.020,0.000
'21:01.542',0.015,0.005
'21:01.544',0.000,0.010
'21:01.547',-0.020,0.000
'21:01.550',-0.025,0.015
'21:01.553',-0.025,0.030
'21:01.556',-0.020,0.025
'21:01.558',-0.025,0.015
'21:01.561',-0.035,0.020
'21:01.564',-0.030,0.025
'21:01.567',-0.035,0.045
'21:01.569',-0.035,0.050
'21:01.572',-0.010,0.055
'21:01.575',-0.015,0.055
'21:01.578',-0.020,0.040
'21:01.581',-0.025,0.040
'21:01.583',-0.010,0.050
'21:01.586',-0.005,0.055
'21:01.589',-0.015,0.055
'21:01.592',-0.045,0.035
'21:01.594',-0.050,0.020
'21:01.597',-0.060,0.005
'21:01.600',-0.035,0.020
'21:01.603',-0.025,0.040
'21:01.606',0.000,0.035
'21:01.608',0.000,0.025
'21:01.611',0.025,0.020
'21:01.614',0.015,0.015
'21:01.617',0.020,0.025
'21:01.619',0.025,0.045
'21:01.622',0.035,0.035
'21:01.625',0.035,0.030
'21:01.628',0.025,0.020
'21:01.631',0.010,0.025
'21:01.633',0.005,0.060
'21:01.636',0.020,0.055
'21:01.639',0.035,0.055
'21:01.642',0.040,0.035
'21:01.644',0.030,0.025
'21:01.647',0.035,0.025
'21:01.650',0.035,0.040
'21:01.653',0.035,0.045
'21:01.656',0.020,0.065
'21:01.658',0.000,0.045
'21:01.661',-0.040,0.045
'21:01.664',-0.095,0.045
'21:01.667',-0.115,0.055
'21:01.669',-0.120,0.085
'21:01.672',-0.135,0.075
'21:01.675',-0.155,0.060
'21:01.678',-0.190,0.070
'21:01.681',-0.210,0.055
'21:01.683',-0.210,0.070
'21:01.686',-0.210,0.080
'21:01.689',-0.205,0.080
'21:01.692',-0.205,0.070
'21:01.694',-0.220,0.060
'21:01.697',-0.235,0.065
'21:01.700',-0.235,0.070
'21:01.703',-0.225,0.075
'21:01.706',-0.210,0.080
'21:01.708',-0.205,0.070
'21:01.711',-0.235,0.060
'21:01.714',-0.230,0.060
'21:01.717',-0.220,0.065
'21:01.719',-0.215,0.075
'21:01.722',-0.200,0.075
'21:01.725',-0.195,0.065
'21:01.728',-0.210,0.065
'21:01.731',-0.205,0.075
'21:01.733',-0.210,0.080
'21:01.736',-0.200,0.085
'21:01.739',-0.185,0.085
'21:01.742',-0.195,0.070
'21:01.744',-0.200,0.065
'21:01.747',-0.200,0.055
'21:01.750',-0.205,0.075
'21:01.753',-0.200,0.080
'21:01.756',-0.190,0.085
'21:01.758',-0.195,0.080
'21:01.761',-0.200,0.065
'21:01.764',-0.205,0.075
'21:01.767',-0.200,0.085
'21:01.769',-0.195,0.080
'21:01.772',-0.185,0.090
'21:01.775',-0.175,0.080
'21:01.778',-0.185,0.075
'21:01.781',-0.200,0.070
'21:01.783',-0.180,0.080
'21:01.786',-0.185,0.085
'21:01.789',-0.180,0.085
'21:01.792',-0.165,0.080
'21:01.794',-0.180,0.065
'21:01.797',-0.185,0.080
'21:01.800',-0.175,0.085
'21:01.803',-0.165,0.095
'21:01.806',-0.155,0.085
'21:01.808',-0.160,0.095
'21:01.811',-0.175,0.090
'21:01.814',-0.175,0.100
'21:01.817',-0.180,0.115
'21:01.819',-0.190,0.150
'21:01.822',-0.195,0.155
'21:01.825',-0.205,0.180
'21:01.828',-0.210,0.195
'21:01.831',-0.210,0.210
'21:01.833',-0.130,0.220
'21:01.836',-0.015,0.195
'21:01.839',0.145,0.150
'21:01.842',0.285,0.085
'21:01.844',0.420,0.000
'21:01.847',0.545,-0.115
'21:01.850',0.650,-0.215
'21:01.853',0.750,-0.280
'21:01.856',0.880,-0.380
'21:01.858',1.010,-0.530
'21:01.861',1.155,-0.700
'21:01.864',1.275,-0.875
'21:01.867',1.425,-1.020
'21:01.869',1.535,-1.130
'21:01.872',1.610,-1.210
'21:01.875',1.630,-1.240
'21:01.878',1.620,-1.240
'21:01.881',1.595,-1.230
'21:01.883',1.570,-1.185
'21:01.886',1.500,-1.125
'21:01.889',1.370,-1.060
'21:01.892',1.165,-0.995
'21:01.894',0.975,-0.925
'21:01.897',0.810,-0.855
'21:01.900',0.670,-0.785
'21:01.903',0.530,-0.695
'21:01.906',0.395,-0.635
'21:01.908',0.220,-0.600
'21:01.911',-0.005,-0.545
'21:01.914',-0.230,-0.480
'21:01.917',-0.400,-0.420
'21:01.919',-0.520,-0.350
'21:01.922',-0.640,-0.315
'21:01.925',-0.755,-0.290
'21:01.928',-0.845,-0.255
'21:01.931',-0.910,-0.205
'21:01.933',-0.920,-0.160
'21:01.936',-0.905,-0.130
'21:01.939',-0.880,-0.105
'21:01.942',-0.885,-0.090
'21:01.944',-0.875,-0.065
'21:01.947',-0.885,-0.035
'21:01.950',-0.865,0.010
'21:01.953',-0.835,0.050
'21:01.956',-0.780,0.080
'21:01.958',-0.745,0.095
'21:01.961',-0.715,0.110
'21:01.964',-0.690,0.135
'21:01.967',-0.665,0.165
'21:01.969',-0.645,0.195
'21:01.972',-0.625,0.225
'21:01.975',-0.595,0.235
'21:01.978',-0.565,0.240
'21:01.981',-0.550,0.245
'21:01.983',-0.525,0.290
'21:01.986',-0.485,0.295
'21:01.989',-0.485,0.305
'21:01.992',-0.475,0.300
'21:01.994',-0.470,0.295
'21:01.997',-0.475,0.290
'21:02.000',-0.465,0.310
'21:02.003',-0.460,0.320
'21:02.006',-0.450,0.310
'21:02.008',-0.455,0.320
'21:02.011',-0.465,0.310
'21:02.014',-0.470,0.315
'21:02.017',-0.475,0.330
'21:02.019',-0.475,0.335
'21:02.022',-0.465,0.340
'21:02.025',-0.470,0.330
'21:02.028',-0.490,0.335
'21:02.031',-0.495,0.330
'21:02.033',-0.500,0.345
'21:02.036',-0.500,0.360
'21:02.039',-0.495,0.360
'21:02.042',-0.510,0.355
'21:02.044',-0.515,0.345
'21:02.047',-0.530,0.360
'21:02.050',-0.530,0.385
'21:02.053',-0.520,0.385
'21:02.056',-0.520,0.375
'21:02.058',-0.520,0.370
'21:02.061',-0.530,0.380
'21:02.064',-0.545,0.380
'21:02.067',-0.540,0.390
'21:02.069',-0.530,0.415
'21:02.072',-0.520,0.410
'21:02.075',-0.535,0.415
'21:02.078',-0.525,0.405
'21:02.081',-0.545,0.410
'21:02.083',-0.535,0.430
'21:02.086',-0.530,0.425
'21:02.089',-0.515,0.430
'21:02.092',-0.515,0.415
'21:02.094',-0.515,0.420
'21:02.097',-0.520,0.415
'21:02.100',-0.510,0.425
'21:02.103',-0.485,0.440
'21:02.106',-0.480,0.435
'21:02.108',-0.475,0.430
'21:02.111',-0.465,0.415
'21:02.114',-0.460,0.405
'21:02.117',-0.460,0.410
'21:02.119',-0.435,0.425
'21:02.122',-0.415,0.425
'21:02.125',-0.410,0.415
'21:02.128',-0.410,0.395
'21:02.131',-0.410,0.385
'21:02.133',-0.380,0.395
'21:02.136',-0.365,0.405
'21:02.139',-0.350,0.400
'21:02.142',-0.335,0.380
'21:02.144',-0.325,0.375
'21:02.147',-0.310,0.375
'21:02.150',-0.295,0.370
'21:02.153',-0.265,0.370
'21:02.156',-0.250,0.365
'21:02.158',-0.245,0.355
'21:02.161',-0.230,0.345
'21:02.164',-0.225,0.340
'21:02.167',-0.210,0.345
'21:02.169',-0.180,0.340
'21:02.172',-0.170,0.340
'21:02.175',-0.155,0.330
'21:02.178',-0.135,0.310
'21:02.181',-0.140,0.300
'21:02.183',-0.115,0.300
'21:02.186',-0.090,0.305
'21:02.189',-0.070,0.295
'21:02.192',-0.045,0.275
'21:02.194',-0.045,0.270
'21:02.197',-0.045,0.260
'21:02.200',-0.025,0.265
'21:02.203',-0.010,0.260
'21:02.206',0.010,0.240
'21:02.208',0.000,0.240
'21:02.211',0.005,0.205
'21:02.214',0.005,0.205
'21:02.217',0.010,0.210
'21:02.219',0.015,0.210
'21:02.222',0.015,0.195
'21:02.225',0.020,0.195
'21:02.228',0.000,0.175
'21:02.231',0.000,0.165
'21:02.233',0.005,0.175
'21:02.236',0.005,0.175
'21:02.239',0.015,0.160
'21:02.242',0.020,0.160
'21:02.244',0.005,0.155
'21:02.247',-0.005,0.160
'21:02.250',-0.005,0.155
'21:02.253',-0.005,0.155
'21:02.256',-0.015,0.155
'21:02.258',-0.010,0.140
'21:02.261',-0.030,0.145
'21:02.264',-0.040,0.140
'21:02.267',-0.040,0.155
'21:02.269',-0.040,0.170
'21:02.272',-0.030,0.170
'21:02.275',-0.030,0.155
'21:02.278',-0.045,0.150
'21:02.281',-0.045,0.160
'21:02.283',-0.030,0.170
'21:02.286',-0.010,0.180
'21:02.289',-0.005,0.175
'21:02.292',-0.005,0.185
'21:02.294',-0.010,0.165
'21:02.297',-0.020,0.175
'21:02.300',-0.010,0.195
'21:02.303',-0.005,0.185
'21:02.306',-0.005,0.175
'21:02.308',-0.020,0.180
'21:02.311',-0.040,0.160
'21:02.314',-0.055,0.150
'21:02.317',-0.040,0.155
'21:02.319',-0.025,0.170
'21:02.322',0.000,0.160
'21:02.325',0.020,0.155
'21:02.328',0.020,0.165
'21:02.331',0.015,0.165
'21:02.333',0.020,0.175
'21:02.336',0.030,0.165
'21:02.339',0.040,0.165
'21:02.342',0.035,0.170
'21:02.344',0.020,0.170
'21:02.347',0.015,0.180
'21:02.350',0.010,0.190
'21:02.353',0.030,0.195
'21:02.356',0.025,0.190
'21:02.358',0.025,0.170
'21:02.361',0.035,0.175
'21:02.364',0.040,0.160
'21:02.367',0.045,0.170
'21:02.369',0.050,0.185
'21:02.372',0.040,0.180
'21:02.375',0.005,0.185
'21:02.378',-0.035,0.185
'21:02.381',-0.085,0.170
'21:02.383',-0.110,0.180
'21:02.386',-0.120,0.200
'21:02.389',-0.140,0.195
'21:02.392',-0.170,0.180
'21:02.394',-0.180,0.195
'21:02.397',-0.205,0.190
